,nazov
2023-01-01,PRIKÁZANÁ SLÁVNOSŤ: Panny Márie Bohorodičky [Biela] (slávnosť)
2023-01-02,"Svätých Bazila Veľkého a Gregora Nazianzského, biskupov a učiteľov Cirkvi [Biela] (spomienka)"
2023-01-03,Utorok vo Vianočnom období [Biela] alebo Najsvätejšieho mena Ježiš [Biela] (ľubovoľná spomienka)
2023-01-04,Streda vo Vianočnom období [Biela]
2023-01-05,Štvrtok vo Vianočnom období [Biela]
2023-01-06,PRIKÁZANÁ SLÁVNOSŤ: Zjavenie Pána [Biela] (slávnosť)
2023-01-07,"Sobota po Zjavení Pána [Biela] alebo Svätého Rajmunda z Peňafortu, kňaza [Biela] (ľubovoľná spomienka)"
2023-01-08,Krst Krista Pána [Biela] (sviatok)
2023-01-09,Pondelok 1. týždňa v Cezročnom období [Zelená]
2023-01-10,Utorok 1. týždňa v Cezročnom období [Zelená]
2023-01-11,Streda 1. týždňa v Cezročnom období [Zelená]
2023-01-12,Štvrtok 1. týždňa v Cezročnom období [Zelená]
2023-01-13,"Piatok 1. týždňa v Cezročnom období [Zelená] alebo Svätého Hilára, biskupa a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-01-14,Sobota 1. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-01-15,2. nedeľa v Cezročnom období [Zelená]
2023-01-16,Pondelok 2. týždňa v Cezročnom období [Zelená]
2023-01-17,"Svätého Antona, opáta [Biela] (spomienka)"
2023-01-18,Streda 2. týždňa v Cezročnom období [Zelená]
2023-01-19,Štvrtok 2. týždňa v Cezročnom období [Zelená]
2023-01-20,"Piatok 2. týždňa v Cezročnom období [Zelená] alebo Svätého Fabiána, pápeža a mučeníka [Červená] alebo Svätého Šebastiána, mučeníka [Červená] (ľubovoľná spomienka)"
2023-01-21,"Svätej Agnesy, panny a mučenice [Červená] (spomienka)"
2023-01-22,3. nedeľa v Cezročnom období [Zelená]
2023-01-23,Pondelok 3. týždňa v Cezročnom období [Zelená]
2023-01-24,"Svätého Františka Saleského, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-01-25,"Obrátenie svätého Pavla, apoštola [Biela] (sviatok)"
2023-01-26,"Svätých Timoteja a Títa, biskupov [Biela] (spomienka)"
2023-01-27,"Piatok 3. týždňa v Cezročnom období [Zelená] alebo Svätej Angely Merici, panny [Biela] (ľubovoľná spomienka)"
2023-01-28,"Svätého Tomáša Akvinského, kňaza a učiteľa Cirkvi [Biela] (spomienka)"
2023-01-29,4. nedeľa v Cezročnom období [Zelená]
2023-01-30,Pondelok 4. týždňa v Cezročnom období [Zelená]
2023-01-31,"Svätého Jána Bosca, kňaza [Biela] (spomienka)"
2023-02-01,Streda 4. týždňa v Cezročnom období [Zelená]
2023-02-02,Obetovanie Pána [Biela] (sviatok)
2023-02-03,"Piatok 4. týždňa v Cezročnom období [Zelená] alebo Svätého Blažeja, biskupa a mučeníka [Červená] alebo Svätého Oskára, biskupa [Biela] (ľubovoľná spomienka)"
2023-02-04,Sobota 4. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-02-05,5. nedeľa v Cezročnom období [Zelená]
2023-02-06,"Svätého Pavla Mikiho a spoločníkov, mučeníkov [Červená] (spomienka)"
2023-02-07,Utorok 5. týždňa v Cezročnom období [Zelená]
2023-02-08,"Streda 5. týždňa v Cezročnom období [Zelená] alebo Svätého Hieronyma Emilianiho [Biela] alebo Svätej Jozefíny Bakhity, panny [Biela] (ľubovoľná spomienka)"
2023-02-09,Štvrtok 5. týždňa v Cezročnom období [Zelená]
2023-02-10,"Svätej Školastiky, panny [Biela] (spomienka)"
2023-02-11,Sobota 5. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie Lurdskej [Biela] (ľubovoľná spomienka)
2023-02-12,6. nedeľa v Cezročnom období [Zelená]
2023-02-13,Pondelok 6. týždňa v Cezročnom období [Zelená]
2023-02-14,"Utorok 6. týždňa v Cezročnom období [Zelená] alebo votívna svätá omša o svätých Cyrilovi, mníchovi, a Metodovi, biskupovi, patrónoch Európy [Biela]"
2023-02-15,Streda 6. týždňa v Cezročnom období [Zelená]
2023-02-16,Štvrtok 6. týždňa v Cezročnom období [Zelená]
2023-02-17,Piatok 6. týždňa v Cezročnom období [Zelená] alebo Siedmich svätých zakladateľov Rehole služobníkov preblahoslavenej Panny Márie [Biela] (ľubovoľná spomienka)
2023-02-18,Sobota 6. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-02-19,7. nedeľa v Cezročnom období [Zelená]
2023-02-20,Pondelok 7. týždňa v Cezročnom období [Zelená]
2023-02-21,"Utorok 7. týždňa v Cezročnom období [Zelená] alebo Svätého Petra Damianiho, biskupa a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-02-22,Popolcová streda [Fialová] (Pôst a zdržovanie sa mäsitého pokrmu. Je deň pokánia v celej Cirkvi.)
2023-02-23,Štvrtok po Popolcovej strede [Fialová]
2023-02-24,Piatok po Popolcovej strede [Fialová]
2023-02-25,Sobota po Popolcovej strede [Fialová]
2023-02-26,1. pôstna nedeľa [Fialová]
2023-02-27,Pondelok po 1. pôstnej nedeli [Fialová]
2023-02-28,Utorok po 1. pôstnej nedeli [Fialová]
2023-03-01,Streda po 1. pôstnej nedeli [Fialová]
2023-03-02,Štvrtok po 1. pôstnej nedeli [Fialová]
2023-03-03,Piatok po 1. pôstnej nedeli [Fialová]
2023-03-04,Sobota po 1. pôstnej nedeli [Fialová]
2023-03-05,2. pôstna nedeľa [Fialová]
2023-03-06,Pondelok po 2. pôstnej nedeli [Fialová]
2023-03-07,Utorok po 2. pôstnej nedeli [Fialová]
2023-03-08,Streda po 2. pôstnej nedeli [Fialová]
2023-03-09,Štvrtok po 2. pôstnej nedeli [Fialová]
2023-03-10,Piatok po 2. pôstnej nedeli [Fialová]
2023-03-11,Sobota po 2. pôstnej nedeli [Fialová]
2023-03-12,3. pôstna nedeľa [Fialová]
2023-03-13,Pondelok po 3. pôstnej nedeli [Fialová]
2023-03-14,Utorok po 3. pôstnej nedeli [Fialová]
2023-03-15,Streda po 3. pôstnej nedeli [Fialová]
2023-03-16,Štvrtok po 3. pôstnej nedeli [Fialová]
2023-03-17,Piatok po 3. pôstnej nedeli [Fialová]
2023-03-18,Sobota po 3. pôstnej nedeli [Fialová]
2023-03-19,4. pôstna nedeľa [Ružová] [Fialová]
2023-03-20,"Svätého Jozefa, ženícha Panny Márie [Biela] (slávnosť preložená z nedele)"
2023-03-21,Utorok po 4. pôstnej nedeli [Fialová]
2023-03-22,Streda po 4. pôstnej nedeli [Fialová]
2023-03-23,Štvrtok po 4. pôstnej nedeli [Fialová]
2023-03-24,Piatok po 4. pôstnej nedeli [Fialová]
2023-03-25,Zvestovanie Pána [Biela] (slávnosť)
2023-03-26,5. pôstna nedeľa [Fialová]
2023-03-27,Pondelok po 5. pôstnej nedeli [Fialová]
2023-03-28,Utorok po 5. pôstnej nedeli [Fialová]
2023-03-29,Streda po 5. pôstnej nedeli [Fialová]
2023-03-30,Štvrtok po 5. pôstnej nedeli [Fialová]
2023-03-31,Piatok po 5. pôstnej nedeli [Fialová]
2023-04-01,Sobota po 5. pôstnej nedeli [Fialová]
2023-04-02,Palmová (Kvetná) nedeľa – Nedeľa utrpenia Pána [Červená]
2023-04-03,Pondelok Svätého týždňa [Fialová]
2023-04-04,Utorok Svätého týždňa [Fialová]
